:START_ID,:END_ID,:TYPE,role
F013,M002,HAS_MECHANISM,主机理
F013,M001,HAS_MECHANISM,辅机理
F013,M003,HAS_MECHANISM,辅机理
F013,M024,HAS_MECHANISM,辅机理
F014,M020,HAS_MECHANISM,主机理
F014,M002,HAS_MECHANISM,辅机理
F014,M011,HAS_MECHANISM,辅机理
F014,M005,HAS_MECHANISM,辅机理
F014,M039,HAS_MECHANISM,辅机理
F015,M002,HAS_MECHANISM,主机理
F015,M004,HAS_MECHANISM,辅机理
F015,M003,HAS_MECHANISM,辅机理
F015,M005,HAS_MECHANISM,辅机理
F015,M015,HAS_MECHANISM,辅机理
F018,M002,HAS_MECHANISM,主机理
F018,M004,HAS_MECHANISM,辅机理
F018,M001,HAS_MECHANISM,辅机理
F018,M015,HAS_MECHANISM,辅机理
F019,M002,HAS_MECHANISM,主机理
F019,M040,HAS_MECHANISM,辅机理
F019,M003,HAS_MECHANISM,辅机理
F019,M005,HAS_MECHANISM,辅机理
F019,M024,HAS_MECHANISM,辅机理
F019,M039,HAS_MECHANISM,辅机理
F023,M020,HAS_MECHANISM,主机理
F023,M002,HAS_MECHANISM,辅机理
F023,M011,HAS_MECHANISM,辅机理
F023,M039,HAS_MECHANISM,辅机理
F034,M002,HAS_MECHANISM,主机理
F034,M040,HAS_MECHANISM,辅机理
F034,M004,HAS_MECHANISM,辅机理
F034,M024,HAS_MECHANISM,辅机理
